Area,Transaction_type,Floors,BHK,Furnished_status,link,City,price
1250,Resale,2,5,Furnished,https://www.99acres.com/5-bhk-bedroom-farm-house-for-sale-in-old-manali-manali-2787840-sq-ft-r11-spid-G38325663,Manali,3500
158,New Property,1,5,Unfurnished,https://www.magicbricks.com/propertyDetails/5-BHK-2800-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Vikaspuri-Block-J-in-New-Delhi&id=4d423434333734343833,Manali,60
140,Resale,1,4,Unfurnished,https://www.olx.in/item/4bhk-flat-for-sale-iid-1625115106,Shimla,85
78,Resale,2,2,SemiFurnished,https://www.olx.in/item/one-rk1-bhk2-bhk-flats-iid-1532541409,Shimla,30
40,Resale,1,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-40-Sq-m-Multistorey-Apartment-FOR-Sale-New-Shimla-in-Shimla&id=4d423439333934353437,Shimla,22.5
74,Resale,1,2,SemiFurnished,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Residential-House-FOR-Sale-Old-Manali-in-Manali&id=4d423533343638393839,Manali,22
210,Resale,4,10,Furnished,https://www.magicbricks.com/propertyDetails/10-plus-BHK-410-Sq-m-Residential-House-FOR-Sale-New-Shimla-in-Shimla-r1&id=4d423430393039373331,Shimla,500
112,New Property,1,3,Furnished,https://www.olx.in/item/3-bhk-for-sale-furnished-at-mehli-iid-1625429116,Shimla,56
155,Resale,3,2,Unfurnished,https://www.99acres.com/residential-land-plot-for-sale-in-bajaura-kullu-299-sq-yard-r1-spid-T5,Manali,45
102,Resale,2,7,SemiFurnished,https://www.magicbricks.com/propertyDetails/7-BHK-1100-Sq-ft-Residential-House-FOR-Sale-New-Shimla-in-Shimla-r1&id=4d423436383531333935,Shimla,400
28,Resale,3,1,Furnished,https://www.magicbricks.com/propertyDetails/300-Sq-ft-Studio-Apartment-FOR-Sale-New-Shimla-in-Shimla&id=4d423439373631343534,Shimla,25
130,Resale,2,8,Furnished,https://www.magicbricks.com/propertyDetails/8-BHK-1740-Sq-ft-Residential-House-FOR-Sale-in-Manali&id=4d423531323237363238,Manali,162
200,Resale,1,5,Furnished,https://www.magicbricks.com/propertyDetails/5-BHK-2150-Sq-ft-Multistorey-Apartment-FOR-Sale-Aleo-Project-3mw-in-Manali&id=4d423531363238373639,Manali,73
8903,Resale,1,5,Unfurnished,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kulu-manali-95832-sq-ft-spid-P550745,Manali,75
167,New Property,1,3,SemiFurnished,https://www.olx.in/item/newly-built-3bhk-for-sale-in-zirakpur-iid-1624827207,Shimla,71.6
130,New Property,1,2,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1650-Sq-ft-Residential-House-FOR-Sale-Shimla-Hill-Station-in-Shimla&id=4d423533383930393235,Shimla,65
120,Resale,1,3,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1286-Sq-ft-Multistorey-Apartment-FOR-Sale-Bharari-Rd-in-Shimla-r1&id=4d423336313339383433,Shimla,80
161,New Property,1,3,SemiFurnished,https://www.olx.in/item/3bhk-luxuries-apartment-chandigarh-iid-1624627152,Shimla,57
878,Resale,2,1,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-7-Biswa1-Residential-House-FOR-Sale-in-Manali&id=4d423530313836323230,Manali,50
111,Resale,3,3,SemiFurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Shimla-in-Shimla&id=4d423533333331323639,Shimla,95
57.1,Resale,1,2,SemiFurnished,https://www.magicbricks.com/propertyDetails/2-BHK-615-Sq-ft-Residential-House-FOR-Sale-The-Mall-Rd-in-Manali&id=4d423532353631343235,Manali,45
120,Resale,1,4,SemiFurnished,https://www.magicbricks.com/propertyDetails/4-BHK-120-Sq-m-Residential-House-FOR-Sale-New-Shimla-in-Shimla&id=4d423435333938303331,Shimla,310
102,Resale,1,2,SemiFurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Kasumpti-in-Shimla-r1&id=4d423435393532343735,Shimla,60
